title,ratings,time_period,image
137. Ramayan,9.0 (26K),1987–1988,https://tinyurl.com/2bynrwlc
138. Atlanta,8.6 (94K),2016–2022,https://tinyurl.com/22ml6354
139. House of Cards,8.6 (547K),2013–2018,https://tinyurl.com/2ypdr3rv
140. Deadwood,8.6 (124K),2004–2006,https://tinyurl.com/2ckqnbq9
141. Dexter,8.6 (843K),2006–2013,https://tinyurl.com/2btqfnj4
142. The Crown,8.6 (270K),2016–2023,https://tinyurl.com/265agm9r
143. Mr Inbetween,8.7 (40K),2018–2021,https://tinyurl.com/2bkc7wuf
144. It's a Sin,8.6 (39K),2021,https://tinyurl.com/2dqcuuzu
145. Daredevil,8.6 (505K),2015–2018,https://tinyurl.com/2ctqq7cf
146. Bron/Broen,8.6 (81K),2011–2018,https://tinyurl.com/2b2q73rj
147. Primal,8.6 (25K),2019– ,https://tinyurl.com/2695raw6
148. Blackadder II,8.6 (52K),1986,https://tinyurl.com/27jyhdgm
149. Lonesome Dove,8.7 (28K),1989,https://tinyurl.com/278uayw7
150. Poirot,8.6 (56K),1989–2013,https://tinyurl.com/27xbcyfh
151. Mindhunter,8.6 (367K),2017–2019,https://tinyurl.com/26zpc3uy
152. Shogun,8.6 (217K),2024–2026,https://tinyurl.com/2dfrznvw
153. Hajime no Ippo,8.8 (14K),2000–2002,https://tinyurl.com/24ef8jzh
154. Mr. Bean,8.6 (143K),1990–1995,https://tinyurl.com/25hyf6qp
155. The Penguin,8.6 (194K),2024,https://tinyurl.com/2aqveahj
156. The Return of Sherlock Holmes,8.7 (15K),1986–1988,https://tinyurl.com/25btmwtv
157. Sarangeui bulsachak,8.7 (51K),2019–2020,https://tinyurl.com/22ksrb34
158. The Offer,8.6 (46K),2022,https://tinyurl.com/235xnc3h
159. The Jinx: The Life and Deaths of Robert Durst,8.6 (56K),2015–2024,https://tinyurl.com/23a5fjxb
160. Haikyû!!,8.7 (45K),2014–2020,https://tinyurl.com/2czd4akz
161. Gomorrah,8.6 (47K),2014–2021,https://tinyurl.com/2xkl3tf7
162. Yes Minister,8.6 (18K),1980–1984,https://tinyurl.com/2apxpg6d
163. Pose,8.6 (35K),2018–2021,https://tinyurl.com/2aeo82cp
164. Scavengers Reign,8.6 (30K),2023,https://tinyurl.com/2adsvc7q
165. Blackadder the Third,8.6 (49K),1987,https://tinyurl.com/2257f9be
166. Greatest Events of WWII in Colour,8.6 (13K),2019,https://tinyurl.com/2ar5gozr
167. Anne with an E,8.6 (74K),2017–2019,https://tinyurl.com/22pcc8t7
168. Critical Role,9.0 (14K),2015– ,https://tinyurl.com/22oh2zo8
169. Le bureau des légendes,8.7 (17K),2015–2020,https://tinyurl.com/233h6crr
170. Mystery Science Theater 3000,8.6 (27K),1988–1999,https://tinyurl.com/24m9ekec
